BOMCode,MachineModel,Version,ItemCode,ItemName,SubAssemblyTag,QtyPerMachine,Unit,ScrapPercent,EstHoursPerUnit
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,3130800100,JUNCTION BOX COVER,110-420,2.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,3130800200,PLC BOX COVER,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,3130800300,HEATER WIRE JUNCTION BOX COVER,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,3131100100,PLC BOX  MTG TOP BRACKET,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,3131100200,PLC BOX MTG BOTTOM BRACKET,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,3131100300,"MOLD HEIGHT STOP LIMIT SWITCH 
OPERATING PIN MTG BRACKET",110-420,2.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,3131100400,MOLD HEIGHT STOP LIMIT SWITCH MTG BRACKET,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,3131100500,CROSS HEAD LOCKING LIMIT STOP PIN MTG BRACKET,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,3131100600,TOGGLE LIMIT SWITCH MTG BRACKET,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,3131100700,EJECTOR LINEAR MTG BRACKET,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,3131100800,HEATER WIRE JUNCTION BOX MTG BRACKET,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,3131100900,HYD MOTOR RPM PROXY SENSOR MTG BRACKET,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,3131101400,INJECTION LINEAR MOUNTING BRACKET - 420,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,3131101100,INJECTION LINEAR SHAFT MTG BRACKET - 280,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,3131101200,NOZZLE CYLINDER LIMIT SWITCH PIN MTG BRACKET,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,3131101300,NOZZLE CYLINDER STOP LIMIT SWITCH MTG BRACKET,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,3131300200,INJECTION GUARD SUPPORT BRACKET - 420,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,6160100100,DSG-01-3C2-D24 (YUKEN),110-420,2.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,6160100200,DSG-01-3C4-D24 (YUKEN),110-420,2.0,NOS,0.0,0.5
